iter	Passed	Remaining
411	3788	5406
412	3794	5392
413	3805	5387
414	3814	5376
415	3822	5365
416	3830	5354
417	3838	5344
418	3845	5332
419	3853	5321
420	3861	5310
421	3868	5298
422	3875	5286
423	3882	5274
424	3890	5263
425	3898	5252
426	3906	5241
427	3913	5230
428	3920	5218
429	3928	5207
430	3937	5198
431	3945	5187
432	3953	5176
433	3960	5164
434	3967	5153
435	3979	5147
436	3987	5136
437	3994	5125
438	4002	5114
439	4010	5104
440	4017	5092
441	4026	5082
442	4037	5076
443	4044	5065
444	4053	5055
445	4062	5045
446	4069	5034
447	4076	5023
448	4084	5012
449	4092	5002
450	4100	4991
451	4107	4980
452	4114	4968
453	4124	4960
454	4132	4949
455	4139	4938
456	4147	4927
457	4155	4917
458	4162	4905
459	4170	4895
460	4177	4884
461	4185	4873
462	4192	4862
463	4200	4852
464	4207	4841
465	4215	4830
466	4222	4819
467	4230	4808
468	4237	4797
469	4245	4787
470	4252	4776
471	4260	4765
472	4267	4754
473	4274	4743
474	4281	4732
475	4288	4721
476	4297	4712
477	4306	4702
478	4313	4691
479	4321	4681
480	4329	4671
481	4337	4661
482	4345	4651
483	4353	4641
484	4360	4630
485	4368	4620
486	4376	4609
487	4383	4599
488	4391	4588
489	4398	4578
490	4406	4567
491	4413	4556
492	4420	4546
493	4428	4536
494	4438	4527
495	4446	4517
496	4453	4506
497	4461	4496
498	4469	4487
499	4477	4477
500	4484	4466
501	4491	4456
502	4499	4445
503	4507	4436
504	4514	4425
505	4522	4414
506	4530	4405
507	4538	4395
508	4546	4385
509	4553	4374
510	4560	4364
511	4569	4354
512	4576	4344
513	4584	4334
514	4592	4325
515	4600	4315
516	4607	4304
517	4614	4293
518	4621	4283
519	4629	4273
520	4636	4263
521	4645	4253
522	4652	4243
523	4659	4232
524	4667	4222
525	4674	4212
526	4682	4202
527	4692	4194
528	4699	4184
529	4710	4177
530	4719	4168
531	4728	4159
532	4737	4150
533	4749	4145
534	4766	4143
535	4778	4136
536	4788	4128
537	4798	4120
538	4809	4113
539	4819	4105
540	4831	4099
541	4843	4092
542	4854	4085
543	4864	4077
544	4875	4070
545	4884	4061
546	4894	4053
547	4905	4045
548	4918	4040
549	4930	4034
550	4942	4027
551	4951	4018
552	4961	4010
553	4970	4001
554	4979	3992
555	4988	3983
556	4997	3974
557	5006	3966
558	5015	3956
559	5028	3951
560	5043	3946
561	5053	3938
562	5063	3930
563	5072	3921
564	5082	3913
565	5092	3905
566	5102	3896
567	5110	3887
568	5119	3877
569	5133	3872
570	5144	3864
571	5154	3856
572	5163	3847
573	5172	3838
574	5181	3829
575	5190	3820
576	5200	3812
577	5209	3803
578	5221	3796
579	5232	3788
580	5241	3779
581	5251	3771
582	5261	3763
583	5271	3755
584	5280	3746
585	5290	3737
586	5299	3728
587	5307	3719
588	5316	3710
589	5338	3709
590	5348	3701
591	5355	3691
592	5364	3681
593	5371	3671
594	5379	3661
595	5386	3651
596	5394	3641
597	5402	3631
598	5409	3621
599	5416	3611
600	5424	3601
601	5432	3591
602	5441	3582
603	5449	3572
604	5456	3562
605	5464	3552
606	5471	3542
607	5478	3532
608	5487	3523
609	5495	3513
610	5511	3508
611	5518	3498
612	5526	3489
613	5534	3479
614	5542	3469
615	5550	3459
616	5559	3450
617	5566	3441
618	5574	3431
619	5582	3421
620	5590	3411
621	5597	3401
622	5605	3392
623	5612	3382
624	5620	3372
625	5627	3361
626	5635	3352
627	5642	3342
628	5651	3333
629	5658	3323
630	5666	3313
631	5673	3303
632	5681	3293
633	5690	3284
634	5697	3275
635	5704	3264
636	5712	3255
637	5719	3245
638	5726	3235
639	5737	3227
640	5744	3217
641	5752	3207
642	5771	3204
643	5780	3195
644	5787	3185
645	5795	3175
646	5802	3166
647	5810	3156
648	5817	3146
649	5824	3136
650	5833	3127
651	5841	3118
652	5849	3108
653	5857	3098
654	5864	3088
655	5871	3079
656	5879	3069
657	5886	3059
658	5894	3049
659	5901	3040
660	5908	3030
661	5915	3020
662	5923	3010
663	5931	3001
664	5940	2992
665	5947	2982
666	5955	2973
667	5966	2965
668	5975	2956
669	5983	2947
670	5991	2937
671	5998	2927
672	6006	2918
673	6013	2908
674	6021	2899
675	6028	2889
676	6038	2881
677	6046	2871
678	6054	2862
679	6062	2853
680	6070	2843
681	6082	2836
682	6091	2827
683	6099	2817
684	6106	2808
685	6114	2798
686	6121	2789
687	6129	2779
688	6137	2770
689	6143	2760
690	6152	2751
691	6159	2741
